date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-06-30T00:00:00.000,Oldham,KY,Passenger,0,1,1,4,5,20.0
2020-04-30T00:00:00.000,Chelan,WA,Truck,0,0,0,22460,22460,0.0
2020-04-30T00:00:00.000,Columbia,WA,Passenger,3,3,6,2407,2413,0.2486531288852051
2020-04-30T00:00:00.000,Columbia,WA,Truck,0,0,0,1525,1525,0.0
2020-04-30T00:00:00.000,Cowlitz,WA,Truck,0,0,0,28769,28769,0.0
2020-04-30T00:00:00.000,Dakota,MN,Passenger,0,1,1,30,31,3.225806451612903
2020-04-30T00:00:00.000,Denver,CO,Passenger,1,0,1,120,121,0.8264462809917354
2020-04-30T00:00:00.000,El Paso,TX,Passenger,3,0,3,435,438,0.684931506849315
2020-04-30T00:00:00.000,Fairbanks North Star,AK,Passenger,0,1,1,102,103,0.9708737864077668
2020-04-30T00:00:00.000,Gwinnett,GA,Passenger,1,0,1,76,77,1.2987012987012987
2020-08-31T00:00:00.000,San Juan,WA,Passenger,320,100,420,13930,14350,2.926829268292683
2020-08-31T00:00:00.000,Santa Clara,CA,Passenger,7,2,9,273,282,3.191489361702128
2020-08-31T00:00:00.000,Sedgwick,KS,Passenger,1,1,2,86,88,2.272727272727273
2020-08-31T00:00:00.000,Shelby,TN,Passenger,0,1,1,84,85,1.176470588235294
2020-08-31T00:00:00.000,St. Clair,IL,Passenger,1,0,1,144,145,0.6896551724137931
2020-08-31T00:00:00.000,Thurston,WA,Passenger,1196,752,1948,197155,199103,0.9783880704961752
2020-06-30T00:00:00.000,Washington,OR,Passenger,1,0,1,424,425,0.2352941176470588
2020-06-30T00:00:00.000,Washoe,NV,Passenger,1,0,1,100,101,0.99009900990099
2020-07-31T00:00:00.000,,,Passenger,5,1,6,351,357,1.680672268907563
2020-07-31T00:00:00.000,Bell,TX,Passenger,0,1,1,419,420,0.238095238095238
2020-05-31T00:00:00.000,Jefferson,WA,Passenger,233,141,374,24827,25201,1.4840680925360104
2020-05-31T00:00:00.000,King,WA,Truck,5,1,6,181433,181439,0.0033068965327189
2020-05-31T00:00:00.000,Suffolk,VA,Passenger,1,0,1,117,118,0.847457627118644
2020-05-31T00:00:00.000,Ventura,CA,Passenger,1,2,3,292,295,1.0169491525423728
2020-05-31T00:00:00.000,Virginia Beach,VA,Passenger,1,0,1,668,669,0.1494768310911808
2020-05-31T00:00:00.000,Yakima,WA,Passenger,131,117,248,165041,165289,0.1500402325623604
2020-06-30T00:00:00.000,Adams,WA,Passenger,9,7,16,12785,12801,0.1249902351378798
2020-06-30T00:00:00.000,Arapahoe,CO,Passenger,1,0,1,128,129,0.7751937984496124
2020-06-30T00:00:00.000,Pima,AZ,Passenger,3,1,4,343,347,1.1527377521613833
2020-06-30T00:00:00.000,Putnam,TN,Passenger,0,1,1,3,4,25.0
2020-06-30T00:00:00.000,Sacramento,CA,Passenger,1,0,1,261,262,0.381679389312977
2020-06-30T00:00:00.000,Santa Cruz,CA,Passenger,1,0,1,33,34,2.941176470588235
